symbol,date,price
ABBV,2022/01/31,134.478
ACN,2022/01/31,351.281
AEP,2022/01/31,88.917
AIZ,2022/01/31,151.302
ALLE,2022/01/31,121.786
AMAT,2022/01/31,137.595
AMP,2022/01/31,301.832
AMZN,2022/01/31,149.574
AVB,2022/01/31,240.768
AVY,2022/01/31,203.738
AXP,2022/01/31,178.642
BDX,2022/01/31,246.295
BF-B,2022/01/31,67.058
BMY,2022/01/31,63.97
BR,2022/01/31,157.765
CARR,2022/01/31,47.299
CDW,2022/01/31,187.906
CE,2022/01/31,154.261
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,28.028
COP,2022/01/31,86.856
CTAS,2022/01/31,389.529
CZR,2022/01/31,76.14
DG,2022/01/31,207.507
DPZ,2022/01/31,452.045
DRE,2022/01/31,57.175
DXC,2022/01/31,30.08
EWA,2022/01/31,22.146
EWC,2022/01/31,37.914
EWG,2022/01/31,31.077
EWH,2022/01/31,23.359
EWJ,2022/01/31,63.464
EWL,2022/01/31,48.363
EWQ,2022/01/31,36.832
EWT,2022/01/31,64.89
EWU,2022/01/31,33.292
EWY,2022/01/31,72.39
EWZ,2022/01/31,30.206
FTV,2022/01/31,70.378
GOOG,2022/01/31,135.698
GPC,2022/01/31,131.404
GSG,2022/01/31,19.12
HIG,2022/01/31,71.099
HIGH.L,2022/01/31,5.419
HST,2022/01/31,17.249
HYG,2022/01/31,82.725
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.622
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,111.787
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,58.898
IEUS,2022/01/31,63.548
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,46.588
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,448.876
IWM,2022/01/31,200.318
IXN,2022/01/31,59.334
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,146.213
KR,2022/01/31,43.224
LQD,2022/01/31,126.059
MCHI,2022/01/31,62.25
META,2022/01/31,313.26
MVEU.L,2022/01/31,53.73
OGN,2022/01/31,31.406
PG,2022/01/31,159.555
PPL,2022/01/31,29.197
PRU,2022/01/31,109.11
PYPL,2022/01/31,171.94
RE,2022/01/31,280.091
REET,2022/01/31,28.355
ROL,2022/01/31,30.658
ROST,2022/01/31,97.04
SEGA.L,2022/01/31,107.668
SHY,2022/01/31,84.673
SLV,2022/01/31,20.8
SPMV.L,2022/01/31,79.22
TLT,2022/01/31,141.015
UNH,2022/01/31,469.501
URI,2022/01/31,320.12
V,2022/01/31,225.372
VRSK,2022/01/31,195.421
VXX,2022/01/31,21.41
WRK,2022/01/31,45.693
XLB,2022/01/31,83.493
XLC,2022/01/31,73.586
XLE,2022/01/31,64.599
XLF,2022/01/31,38.705
XLI,2022/01/31,99.973
XLK,2022/01/31,161.262
XLP,2022/01/31,75.074
XLU,2022/01/31,68.25
XLV,2022/01/31,130.284
XLY,2022/01/31,184.251
XOM,2022/01/31,74.365
ABBV,2022/02/01,134.586
ACN,2022/02/01,351.122
AEP,2022/02/01,86.9
AIZ,2022/02/01,150.052
ALLE,2022/02/01,119.076
AMAT,2022/02/01,138.023
AMP,2022/02/01,305.592
AMZN,2022/02/01,151.194
AVB,2022/02/01,241.014
AVY,2022/02/01,204.7
AXP,2022/02/01,182.338
BDX,2022/02/01,245.413
BF-B,2022/02/01,67.117
BMY,2022/02/01,64.266
BR,2022/02/01,151.928
CARR,2022/02/01,46.674
CDW,2022/02/01,188.254
CE,2022/02/01,156.163
CHTR,2022/02/01,596.89
CNC,2022/02/01,76.95
CNP,2022/02/01,27.751
COP,2022/02/01,89.718
CTAS,2022/02/01,385.34
CZR,2022/02/01,80.8
DG,2022/02/01,208.144
DPZ,2022/02/01,455.674
DRE,2022/02/01,56.611
DXC,2022/02/01,30.79
EWA,2022/02/01,22.436
EWC,2022/02/01,38.4
EWG,2022/02/01,31.339
EWH,2022/02/01,23.487
EWJ,2022/02/01,63.483
EWL,2022/02/01,49.04
EWQ,2022/02/01,37.347
EWT,2022/02/01,65.14
EWU,2022/02/01,33.675
EWY,2022/02/01,72.98
EWZ,2022/02/01,30.722
FTV,2022/02/01,70.468
GOOG,2022/02/01,137.878
GPC,2022/02/01,132.439
GSG,2022/02/01,19.26
HIG,2022/02/01,71.347
HIGH.L,2022/02/01,5.447
HST,2022/02/01,17.279
HYG,2022/02/01,83.054
IAU,2022/02/01,34.27
ICLN,2022/02/01,18.592
IEAA.L,2022/02/01,5.266
IEF,2022/02/01,111.636
IEFM.L,2022/02/01,780.8
IEMG,2022/02/01,59.234
IEUS,2022/02/01,64.279
IEVL.L,2022/02/01,7.599
IGF,2022/02/01,46.855
INDA,2022/02/01,45.89
IUMO.L,2022/02/01,11.362
IUVL.L,2022/02/01,9.265
IVV,2022/02/01,451.976
IWM,2022/02/01,202.428
IXN,2022/02/01,59.514
JPEA.L,2022/02/01,5.764
JPM,2022/02/01,148.722
KR,2022/02/01,43.76
LQD,2022/02/01,126.268
MCHI,2022/02/01,62.638
META,2022/02/01,319
MVEU.L,2022/02/01,54.08
OGN,2022/02/01,32.469
PG,2022/02/01,158.848
PPL,2022/02/01,29.039
PRU,2022/02/01,111.164
PYPL,2022/02/01,175.8
RE,2022/02/01,281.208
REET,2022/02/01,28.236
ROL,2022/02/01,30.837
ROST,2022/02/01,97.824
SEGA.L,2022/02/01,107.168
SHY,2022/02/01,84.666
SLV,2022/02/01,20.94
SPMV.L,2022/02/01,79.605
TLT,2022/02/01,140.547
UNH,2022/02/01,465.368
URI,2022/02/01,330.01
V,2022/02/01,231.54
VRSK,2022/02/01,195.859
VXX,2022/02/01,19.84
WRK,2022/02/01,45.851
XLB,2022/02/01,84.778
XLC,2022/02/01,74.222
XLE,2022/02/01,66.902
XLF,2022/02/01,39.24
XLI,2022/02/01,101.353
XLK,2022/02/01,161.68
XLP,2022/02/01,75.005
XLU,2022/02/01,67.344
XLV,2022/02/01,130.631
XLY,2022/02/01,185.367
XOM,2022/02/01,79.133
ABBV,2022/02/02,136.178
ACN,2022/02/02,357.132
AEP,2022/02/02,88.405
AIZ,2022/02/02,151.778
ALLE,2022/02/02,119.255
AMAT,2022/02/02,140.164
AMP,2022/02/02,310.66
AMZN,2022/02/02,150.612
AVB,2022/02/02,248.063
AVY,2022/02/02,199.056
AXP,2022/02/02,182.954
BDX,2022/02/02,248.747
BF-B,2022/02/02,68.002
BMY,2022/02/02,63.882
BR,2022/02/02,152.89
CARR,2022/02/02,47.13
CDW,2022/02/02,193.423
CE,2022/02/02,157.371
CHTR,2022/02/02,600.24
CNC,2022/02/02,78.82
CNP,2022/02/02,27.988
COP,2022/02/02,90.375
CTAS,2022/02/02,389.449
CZR,2022/02/02,77.5
DG,2022/02/02,205.726
DPZ,2022/02/02,449.351
DRE,2022/02/02,58.244
DXC,2022/02/02,30.69
EWA,2022/02/02,22.572
EWC,2022/02/02,38.559
EWG,2022/02/02,31.417
EWH,2022/02/02,23.507
EWJ,2022/02/02,64.454
EWL,2022/02/02,49.05
EWQ,2022/02/02,37.502
EWT,2022/02/02,65.39
EWU,2022/02/02,33.98
EWY,2022/02/02,73.5
EWZ,2022/02/02,30.512
FTV,2022/02/02,71.455
GOOG,2022/02/02,148.036
GPC,2022/02/02,133.386
GSG,2022/02/02,19.32
HIG,2022/02/02,72.336
HIGH.L,2022/02/02,5.449
HST,2022/02/02,17.09
HYG,2022/02/02,83.181
IAU,2022/02/02,34.38
ICLN,2022/02/02,18.513
IEAA.L,2022/02/02,5.26
IEF,2022/02/02,111.864
IEFM.L,2022/02/02,789.8
IEMG,2022/02/02,59.175
IEUS,2022/02/02,64.909
IEVL.L,2022/02/02,7.614
IGF,2022/02/02,47.19
INDA,2022/02/02,46.16
IUMO.L,2022/02/02,11.445
IUVL.L,2022/02/02,9.298
IVV,2022/02/02,456.318
IWM,2022/02/02,200.417
IXN,2022/02/02,59.952
JPEA.L,2022/02/02,5.805
JPM,2022/02/02,147.532
KR,2022/02/02,43.73
LQD,2022/02/02,126.278
MCHI,2022/02/02,62.101
META,2022/02/02,323
MVEU.L,2022/02/02,54.375
OGN,2022/02/02,32.804
PG,2022/02/02,161.693
PPL,2022/02/02,29.226
PRU,2022/02/02,112.269
PYPL,2022/02/02,132.57
RE,2022/02/02,286.821
REET,2022/02/02,28.543
ROL,2022/02/02,31.264
ROST,2022/02/02,96.623
SEGA.L,2022/02/02,107.258
SHY,2022/02/02,84.686
SLV,2022/02/02,20.93
SPMV.L,2022/02/02,80.895
TLT,2022/02/02,141.023
UNH,2022/02/02,476.664
URI,2022/02/02,326.22
V,2022/02/02,234.59
VRSK,2022/02/02,199.386
VXX,2022/02/02,19.42
WRK,2022/02/02,45.396
XLB,2022/02/02,85.045
XLC,2022/02/02,75.705
XLE,2022/02/02,67.118
XLF,2022/02/02,39.507
XLI,2022/02/02,102.057
XLK,2022/02/02,162.994
XLP,2022/02/02,75.904
XLU,2022/02/02,68.339
XLV,2022/02/02,132.388
XLY,2022/02/02,184.261
XOM,2022/02/02,78.928
ABBV,2022/02/03,138.251
